dept,job_1st-2nd,job_2nd-3rd,industr_1st-2nd,industr_2nd-3rd
戲劇學系,13.023824323139499,21.030454108268803,15.843610699584863,18.05713155515017
國文學系,6.975672010638115,9.779570542718119,9.595832428716127,10.320852677952537
外國語文學系,9.378699270154685,12.303657992645928,10.323759005323597,10.091580649234292
日本語文學系,12.619825672330029,15.917914436257034,12.567418191498207,10.272292830717008
史學系,7.6772390870676945,11.692732785794773,9.21737489744233,9.606247966818263
人類學系,13.436517405935215,14.665606022254927,13.66747965061591,14.97397742752406
哲學系,12.054044964243332,14.402083182651044,12.648320046551639,14.998666607402138
經濟學系,7.417546764261082,12.082218339361361,8.7965902484997,10.960839383915813
政治學系,10.410571550111934,10.708874824182045,8.388086790204309,8.200000000000001
社會學系,13.187114923287806,14.295453822806744,12.607934009979589,13.957793521900232
心理學系,9.090654541890808,12.718490476467718,8.289752710425082,7.93095202355934
地理環境資源學系,12.79531164137865,20.200000000000003,16.24438364481706,16.68891847903872
圖書資訊學系,11.045361017187263,15.872617931519677,15.612174736403635,17.29624236647949
會計與資訊科技學系,52.099712091335014,25.159888711995528,50.83266666229502,24.501836665850174
工商管理學系,14.442298985964799,11.126544836560898,8.434453153583817,8.580209787645055
國際企業學系,6.757218362610462,11.618950038622252,9.40744386111339,6.954135460285484
財務金融學系,8.950977600240098,12.829653151975698,11.773699503554523,7.12039324756716
法律學系,19.030501832584452,7.4979997332621995,7.782030583337488,11.241885962773328
生命科學系,18.294808006644946,18.51161797358621,19.51665955024066,16.79166459884189
昆蟲學系,19.325630649476878,23.168944732119332,26.816785788009717,36.30537150340153
生化科技學系,13.512216694532396,29.45946367468356,17.18545896972205,24.176848429851233
化學系,16.877203559831823,15.979987484350541,13.647710430691294,8.389278872465738
地質學系,20.424495097798626,23.082894099310863,20.848021488860763,15.700318468107582
物理學系,20.961393083476107,18.411952639521967,24.560130292814,8.88256719648098
大氣科學系,13.47070896426762,13.358143583597236,12.922074136917804,24.685623346393342
數學系,21.79449471770337,23.66136090760631,27.891934318006705,16.615053415502462
資訊管理學系,25.05034929896188,13.823892360692048,21.26969675383267,10.38845513057644
電機工程學系,15.329709716755891,14.135062787267694,24.41679749680535,9.229301165310403
資訊工程學系,9.994998749374606,16.673931749890304,16.01811474549986,9.369098142297368
機械工程學系,14.2,14.062005546862792,19.004210059878837,11.257886124845996
生物機電工程學系,13.082813153141032,15.376605607220338,13.908270920570967,9.045440840556086
土木工程學系,13.489254983133797,11.818629362155326,18.093645293306707,10.674268124794319
生物環境工程學系,19.259802698885576,18.184058952830085,17.947701802737864,17.43100685560074
化學工程學系,14.535473848485298,16.931627210637494,15.054567413247048,12.264583156389783
材料科學學系,24.393851684389652,20.84658245372608,23.841979783566632,19.099214643539668
工程科學學系,16.230834852218784,12.866234880492428,28.226228936930273,20.304679263657423
農藝學系,12.986916493148017,22.304259682849818,20.29187029329726,20.805768430894354
動物科學學系,20.565991344936425,13.989281611290838,18.536450577173614,17.227884373886425
園藝暨景觀學系,19.5816240388789,13.737539808859518,17.89636834667861,20.529978080845584
植物病理學系,23.8306525298826,23.058620947489462,19.208852126038142,18.819670560347223
農業經濟學系,10.9233694435371,14.211263138792413,15.932357013323545,16.72244001334733
生物產業傳播暨發展學系,12.929037087115189,20.67800764096967,15.855598380382872,16.76186147180557
農業化學系,14.210559454152394,16.881943016134134,13.581605207043827,10.516653460107927
森林環境暨資源學系,11.732007500849969,16.549320227731407,11.605171261123205,14.4796408795246
獸醫學系,16.480898033784456,43.059958197843144,33.80147925757096,25.14159899449516
醫學系,16.712570119523814,8.889319434017434,24.849949698138218,23.449307026008253
公共衛生學系,22.30560467685196,21.031880562612564,11.470832576583097,14.6574213284602
藥學系,20.884443971530587,22.73983289296559,24.47161621143973,24.04371019622388
物理治療系,24.081943443169205,25.943785383016102,23.968729628413765,25.04396134799765
職能治療學系,26.89628227097566,35.95914348256921,25.860781117359934,26.898698853290284
護理學系,47.86397392611692,15.700955384943938,51.06936459365829,22.318154045529838
醫學檢驗生物技術學系,27.047735579896518,19.085596663452783,22.14317050469512,12.491597175701752
牙醫學系,NA,NA,NA,NA
社會工作學系,17.20465053408525,16.485751423577877,13.896762212832169,14.545789768864392
