dept_code,dept,college
A01,司法組,法律學院
A01,財法組,法律學院
A21,法律研究所,法律學院
A40,教學發展中心,法律學院
A41,科際整合法律學研究所,法律學院
B00,生命科學院,生命科學院
B01,生命科學系,生命科學院
B02,生化科技學系,生命科學院
B21,生命科學所,生命科學院
B22,生化科技研究所,生命科學院
B42,植物科學研究所,生命科學院
B43,分子與細胞生物學研究所,生命科學院
B44,生態學與演化生物學研究所,生命科學院
B45,漁業科學研究所,生命科學院
B46,生化科學研究所,生命科學院
B47,微生物與生化學研究所,生命科學院
B47,生物工業組,生命科學院
B47,生物化學組,生命科學院
B47,營養科學組,生命科學院
B47,微生物學組,生命科學院
B48,基因體與系統生物學學位學程,生命科學院
B49,跨領域神經科學國際研究生博士學位學程,生命科學院
