Id,dropRate1061
中國文學系,5.970149253731344
外國語文學系,4.044117647058823
歷史學系,5.681818181818182
哲學系,4.301075268817204
人類學系,3.7974683544303796
圖書資訊學系,1.4285714285714286
日本語文學系,2.255639097744361
戲劇學系,6.878306878306878
數學系,3.6036036036036037
物理學系,4.676258992805756
化學系,4.482758620689655
地質科學系,4.191616766467066
心理學系,9.655172413793103
地理環境資源學系,4.878048780487805
大氣科學系,3.067484662576687
政治學系政治理論組,2.1186440677966103
政治學系國際關係組,5.841924398625429
政治學系公共行政組,3.5555555555555554
經濟學系,4.067796610169491
社會學系,4.901960784313726
社會工作學系,3.3175355450236967
醫學系,1.1988011988011988
牙醫學系,2.843601895734597
藥學系,8.080808080808081
醫學檢驗暨生物技術學系,11.2
護理學系,9.868421052631579
物理治療學系,10.526315789473685
職能治療學系,7.6923076923076925
土木工程學系,4.831932773109243
機械工程學系,3.6923076923076925
化學工程學系,5.708245243128964
工程科學及海洋工程學系,2.6315789473684212
材料科學與工程學系,4.761904761904762
農藝學系,1.2345679012345678
生物環境系統工程學系,5.472636815920398
農業化學系,9.523809523809524
森林環境暨資源學系,6.934306569343065
動物科學技術學系,7.2727272727272725
農業經濟學系,8.938547486033519
園藝暨景觀學系,6.4935064935064934
獸醫學系,8.059701492537313
生物產業傳播暨發展學系,1.5748031496062993
生物產業機電工程學系,3.314917127071823
昆蟲學系,20.21276595744681
植物病理與微生物學系,6.299212598425197
工商管理學系企業管理組,2.3166023166023164
工商管理學系科技管理組,8.053691275167786
會計學系,2.7184466019417477
財務金融學系,4.428044280442805
國際企業學系,4.4619422572178475
資訊管理學系,4.30622009569378
公共衛生學系,5.487804878048781
電機工程學系,3.9751552795031055
資訊工程學系,3.612167300380228
法律學系法學組,3.125
法律學系司法組,2.6022304832713754
法律學系財經法學組,3.2967032967032965
生命科學系,16.666666666666668
生化科技學系,8.426966292134832
