Source,Target,Weight
工商管理學系科技管理組,財務金融學系,9
工商管理學系科技管理組,資訊工程學系,8
工商管理學系科技管理組,機械工程學系,7
工商管理學系科技管理組,生物產業傳播暨發展學系,7
工商管理學系科技管理組,電機工程學系,4
工商管理學系科技管理組,材料科學與工程學系,4
工商管理學系科技管理組,外國語文學系,3
工商管理學系科技管理組,化學工程學系,3
工商管理學系企業管理組,國際企業學系,44
工商管理學系企業管理組,經濟學系,34
工商管理學系企業管理組,會計學系,26
工商管理學系企業管理組,財務金融學系,19
工商管理學系科技管理組,工商管理學系企業管理組,14
工商管理學系企業管理組,資訊管理學系,9
工商管理學系企業管理組,法律學系財經法學組,7
工商管理學系企業管理組,法律學系法學組,6
工商管理學系企業管理組,法律學系司法組,6
工商管理學系企業管理組,外國語文學系,5
工商管理學系企業管理組,生物產業傳播暨發展學系,5
工商管理學系企業管理組,政治學系國際關係組,3
工商管理學系企業管理組,土木工程學系,3
森林環境暨資源學系,植物病理與微生物學系,7
植物病理與微生物學系,園藝暨景觀學系,6
植物病理與微生物學系,農藝學系,4
植物病理與微生物學系,農業化學系,4
生命科學系,植物病理與微生物學系,3
園藝暨景觀學系,昆蟲學系,7
森林環境暨資源學系,昆蟲學系,5
昆蟲學系,農藝學系,5
工程科學及海洋工程學系,生物產業機電工程學系,9
資訊工程學系,生物產業機電工程學系,9
生物產業機電工程學系,機械工程學系,9
生物環境系統工程學系,生物產業機電工程學系,6
生物產業機電工程學系,電機工程學系,6
材料科學與工程學系,生物產業機電工程學系,4
化學工程學系,生物產業機電工程學系,4
物理學系,生物產業機電工程學系,4
土木工程學系,生物產業機電工程學系,4
森林環境暨資源學系,生物產業機電工程學系,3
經濟學系,生物產業機電工程學系,3
生物產業傳播暨發展學系,經濟學系,7
工商管理學系科技管理組,生物產業傳播暨發展學系,7
生物產業傳播暨發展學系,地理環境資源學系,6
資訊管理學系,生物產業傳播暨發展學系,6
工商管理學系企業管理組,生物產業傳播暨發展學系,5
生物產業傳播暨發展學系,戲劇學系,5
國際企業學系,生物產業傳播暨發展學系,4
生物產業傳播暨發展學系,園藝暨景觀學系,4
生物產業傳播暨發展學系,森林環境暨資源學系,4
生物產業傳播暨發展學系,外國語文學系,4
公共衛生學系,生物產業傳播暨發展學系,4
中國文學系,生物產業傳播暨發展學系,3
農業經濟學系,生物產業傳播暨發展學系,3
生物產業傳播暨發展學系,生化科技學系,3
生物產業傳播暨發展學系,農藝學系,3
生物產業傳播暨發展學系,社會工作學系,3
生物產業傳播暨發展學系,會計學系,3
獸醫學系,動物科學技術學系,5
生命科學系,獸醫學系,5
獸醫學系,資訊工程學系,5
獸醫學系,化學工程學系,3
獸醫學系,物理治療學系,3
園藝暨景觀學系,農藝學系,20
森林環境暨資源學系,園藝暨景觀學系,15
土木工程學系,園藝暨景觀學系,8
園藝暨景觀學系,昆蟲學系,7
公共衛生學系,園藝暨景觀學系,7
植物病理與微生物學系,園藝暨景觀學系,6
生命科學系,園藝暨景觀學系,6
園藝暨景觀學系,動物科學技術學系,5
農業化學系,園藝暨景觀學系,5
大氣科學系,園藝暨景觀學系,4
生物環境系統工程學系,園藝暨景觀學系,4
生物產業傳播暨發展學系,園藝暨景觀學系,4
農業經濟學系,園藝暨景觀學系,4
機械工程學系,園藝暨景觀學系,4
職能治療學系,園藝暨景觀學系,3
園藝暨景觀學系,地理環境資源學系,3
農業經濟學系,園藝暨景觀學系,4
農業經濟學系,公共衛生學系,4
農業經濟學系,生物產業傳播暨發展學系,3
農業經濟學系,經濟學系,3
獸醫學系,動物科學技術學系,5
